ncontrato,ncat,regist,cuotamensual,opcionmoneda,,
00023,20096872,RIM-307,8.33,2,,
00023,90301735,RIM-307,8.33,2,,
00023,20093853,RIM-307,8.33,2,,
00023,90601473,RIM-307,8.33,2,,
00023,79967,RIM-307,8.33,2,,
00023,81978,RIM-307,8.33,2,,
00023,90402344,RIM-307,8.33,2,,
00023,20094961,RN-1614,8.33,2,,
00023,20096830,RN-1614,8.33,2,,
00023,90301675,RN-1614,8.33,2,,
00023,20093795,RN-1614,8.33,2,,
00023,90601389,RN-1614,8.33,2,,
00023,79907,RN-1614,8.33,2,,
00023,81918,RN-1614,8.33,2,,
00023,90402284,RN-1614,8.33,2,,
00125,11406677,RGL-959,9.17,2,,
00125,11403976,RGL-959,9.17,2,,
00125,11404682,RGL-959,9.17,2,,
00125,11405564,RGL-959,9.17,2,,
00125,10409611,RGL-959,9.17,2,,
00125,10410828,RGL-959,9.17,2,,
00125,11400773,RGL-959,9.17,2,,
00125,10406072,RGL-959,9.17,2,,
00125,10407502,RGL-959,9.17,2,,
00125,10408471,RGL-959,9.17,2,,
00098,20791401,RGL-959,10,2,,
00098,10402141,RGL-959,10,2,,
00098,10403767,RGL-959,10,2,,
00098,20297925,RGL-959,10,2,,
00098,20694645,RGL-959,10,2,,
00098,20914865,RGL-959,10,2,,
00098,20910983,RGL-959,10,2,,
00098,20912948,RGL-959,10,2,,
00098,20296997,RGL-959,10,2,,
00098,20393936,RGL-959,10,2,,
00098,20493023,RGL-959,10,2,,
00098,20099085,RGL-959,10,2,,
00023,20095236,RC-3226,8.33,2,,
00023,20096883,RC-3226,8.33,2,,
00023,90301751,RC-3226,8.33,2,,
00023,20093866,RC-3226,8.33,2,,
00023,90601462,RC-3226,8.33,2,,
00023,79981,RC-3226,8.33,2,,
00023,81992,RC-3226,8.33,2,,
00023,90402358,RC-3226,8.33,2,,
00023,20094976,RGF-401,8.33,2,,
00023,20096844,RGF-401,8.33,2,,
00023,90301695,RGF-401,8.33,2,,
00023,20093814,RGF-401,8.33,2,,
00023,90601409,RGF-401,8.33,2,,
00023,79927,RGF-401,8.33,2,,
00023,81938,RGF-401,8.33,2,,
00023,90402304,RGF-401,8.33,2,,
00170,13400221,RGV-056,9.17,2,,
00170,13400993,RGV-056,9.17,2,,
00170,12406849,RGV-056,9.17,2,,
00170,12407716,RGV-056,9.17,2,,
00170,12408385,RGV-056,9.17,2,,
00170,12404298,RGV-056,9.17,2,,
00170,12405100,RGV-056,9.17,2,,
00170,12406031,RGV-056,9.17,2,,
00170,12401833,RGV-056,9.17,2,,
00170,12402691,RGV-056,9.17,2,,
00170,12403454,RGV-056,9.17,2,,
00149,11415373,RGV-056,9.17,2,,
00149,12400276,RGV-056,9.17,2,,
00149,12401095,RGV-056,9.17,2,,
00149,11412608,RGV-056,9.17,2,,
00149,11413457,RGV-056,9.17,2,,
00149,11414388,RGV-056,9.17,2,,
00149,11409996,RGV-056,9.17,2,,
00149,11410480,RGV-056,9.17,2,,
00149,11411498,RGV-056,9.17,2,,
00101,20911737,UQ-7745,11.67,2,,
00101,20913440,UQ-7745,11.67,2,,
00101,20915482,UQ-7745,11.67,2,,
00101,20592284,UQ-7745,11.67,2,,
00101,20693357,UQ-7745,11.67,2,,
00101,20099383,UQ-7745,11.67,2,,
00204,13408882,D6Y-748,31.5,1,,
00204,14404236,D6Y-748,31.5,1,,
00204,14405286,D6Y-748,31.5,1,,
00204,13406938,D6Y-748,31.5,1,,
00204,13407669,D6Y-748,31.5,1,,
00204,13408327,D6Y-748,31.5,1,,
00178,13405165,D6Y-748,11.67,2,,
00178,13405920,D6Y-748,11.67,2,,
00204,13406368,D6Y-748,31.5,1,,
00178,13402907,D6Y-748,11.67,2,,
00178,13403477,D6Y-748,11.67,2,,
00204,13404510,D6Y-748,31.5,1,,
00178,12408895,D6Y-748,11.67,2,,
00178,13400799,D6Y-748,11.67,2,,
00178,13402162,D6Y-748,11.67,2,,
00178,12406758,D6Y-748,11.67,2,,
00178,12407514,D6Y-748,11.67,2,,
00178,12408177,D6Y-748,11.67,2,,
00156,12400036,D6Y-748,11.67,2,,
00178,12404984,D6Y-748,11.67,2,,
00178,12405819,D6Y-748,11.67,2,,
00156,11413353,D6Y-748,11.67,2,,
00156,11413984,D6Y-748,11.67,2,,
00156,11415172,D6Y-748,11.67,2,,
00156,11410268,D6Y-748,11.67,2,,
00156,11411265,D6Y-748,11.67,2,,
00156,11412371,D6Y-748,11.67,2,,
00101,20911738,D6Y-748,11.67,2,,
00101,20913441,D6Y-748,11.67,2,,
00101,20915483,D6Y-748,11.67,2,,
00101,20592285,D6Y-748,11.67,2,,
00101,20693358,D6Y-748,11.67,2,,
00101,20099384,D6Y-748,11.67,2,,
00204,14409979,D5K-747,31.5,1,,
00204,14406211,D5K-747,31.5,1,,
00204,14407697,D5K-747,31.5,1,,
00204,14408966,D5K-747,31.5,1,,
00204,13408880,D5K-747,31.5,1,,
00204,14404234,D5K-747,31.5,1,,
00204,14405284,D5K-747,31.5,1,,
00204,13406936,D5K-747,31.5,1,,
00204,13407667,D5K-747,31.5,1,,
00204,13408325,D5K-747,31.5,1,,
00178,13405163,D5K-747,11.67,2,,
00178,13405918,D5K-747,11.67,2,,
00204,13406366,D5K-747,31.5,1,,
00178,13402905,D5K-747,11.67,2,,
00178,13403475,D5K-747,11.67,2,,
00204,13404508,D5K-747,31.5,1,,
00178,12408893,D5K-747,11.67,2,,
00178,13400797,D5K-747,11.67,2,,
00178,13402160,D5K-747,11.67,2,,
00178,12406756,D5K-747,11.67,2,,
00178,12407512,D5K-747,11.67,2,,
00178,12408175,D5K-747,11.67,2,,
00156,12400034,D5K-747,11.67,2,,
00178,12404982,D5K-747,11.67,2,,
